anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
coverage,anchor,none,0.1,arxivqa,3,0.9141,0.0,0.88,0.0,0.9467,0.0,0.9667,0.0,0.0038,0.0,0.0025,0.0,1.1773,0.0,1.1587,0.0,2.1679,0.0,1283.6127,16.0212,420.6,0.0
coverage,anchor,none,0.1,docvqa,3,0.6396,0.0,0.5267,0.0,0.7333,0.0,0.7667,0.0,0.0597,0.0,0.0489,0.0,1.2794,0.0,0.4915,0.0,1.6808,0.0,1706.544,3.9217,2850.7,0.0
coverage,anchor,none,0.1,flickr,3,0.8626,0.0,0.75,0.0,0.9467,0.0,0.9733,0.0,0.0029,0.0,0.0025,0.0,1.0928,0.0,0.9918,0.0,1.9785,0.0,99.048,0.4871,37.8,0.0
coverage,anchor,none,0.1,infovqa,3,0.8765,0.0,0.8267,0.0,0.9133,0.0,0.9533,0.0,0.0124,0.0,0.0116,0.0,1.9417,0.0,1.1097,0.0,2.9693,0.0,1282.044,10.1783,2869.7,0.0
coverage,anchor,none,0.1,tabfquad,3,0.9216,0.0,0.8571,0.0,0.9881,0.0,1.0,0.0,0.0083,0.0,0.0077,0.0,1.6287,0.0,1.2775,0.0,2.8078,0.0,515.288,2.4049,97.7,0.0
coverage,anchor,none,0.1,tatdqa,3,0.8486,0.0,0.743,0.0,0.9257,0.0,0.9598,0.0,0.0122,0.0,0.0082,0.0,1.6391,0.0,1.0228,0.0,2.5242,0.0,1853.0747,1.6424,1146.1,0.0
coverage,learned,full,0.05,arxivqa,3,0.9272,0.0037,0.8933,0.0054,0.9533,0.0054,0.9778,0.0031,0.0033,0.0,0.0022,0.0001,0.5774,0.0097,1.7754,0.0098,1.8238,0.0149,1195.75,12.4562,1061.4,0.2828
coverage,learned,full,0.05,docvqa,3,0.6882,0.0049,0.6178,0.0063,0.7467,0.0054,0.7956,0.0031,0.0621,0.0065,0.0335,0.0056,0.6072,0.0142,0.6367,0.0058,1.0845,0.0157,1627.1553,5.0755,3141.5,0.0
coverage,learned,full,0.05,flickr,3,0.8838,0.0055,0.7889,0.0068,0.96,0.0054,0.97,0.0,0.0033,0.0002,0.003,0.0002,0.7999,0.0059,1.7593,0.0591,2.2145,0.0539,76.3653,7.7896,145.1,0.0
coverage,learned,full,0.05,infovqa,3,0.8918,0.0019,0.8311,0.0031,0.9378,0.0031,0.9622,0.0031,0.008,0.0005,0.0073,0.0005,1.0054,0.024,1.5183,0.0093,2.241,0.0326,1165.436,9.0135,3519.3,0.0
coverage,learned,full,0.05,tabfquad,3,0.9128,0.0045,0.8492,0.0112,0.9643,0.0,1.0,0.0,0.0093,0.001,0.0093,0.001,1.1025,0.0138,2.1217,0.0133,2.9421,0.0314,462.7507,52.6853,128.4333,0.4714
coverage,learned,full,0.05,tatdqa,3,0.8864,0.0013,0.8106,0.0025,0.9471,0.0009,0.9625,0.0009,0.0082,0.0002,0.0041,0.0001,0.6976,0.0091,1.4606,0.0265,1.8714,0.0204,1766.4597,9.4138,1336.6,0.0
coverage,learned,full,0.1,arxivqa,3,0.9323,0.0012,0.9022,0.0031,0.96,0.0,0.98,0.0,0.0025,0.0,0.0018,0.0,0.4709,0.0072,1.3832,0.0079,1.3766,0.0134,1271.1593,10.6156,1083.4,0.0
coverage,learned,full,0.1,docvqa,3,0.7042,0.0016,0.6222,0.0031,0.7667,0.0054,0.7844,0.0031,0.0453,0.0038,0.026,0.0033,0.4464,0.0132,0.5246,0.006,0.8101,0.0186,1706.9583,10.2641,3152.2,0.0
coverage,learned,full,0.1,flickr,3,0.9161,0.0024,0.8456,0.0042,0.9678,0.0016,0.9833,0.0,0.0015,0.0001,0.0012,0.0001,0.5327,0.0015,1.1947,0.0261,1.3934,0.0184,100.3413,0.9483,148.6,0.0
coverage,learned,full,0.1,infovqa,3,0.9259,0.0013,0.8778,0.0031,0.96,0.0054,0.9756,0.0031,0.0026,0.0006,0.0014,0.0006,0.7496,0.0211,1.2017,0.0093,1.6221,0.0267,1268.5317,3.0462,3541.9,0.0
coverage,learned,full,0.1,tabfquad,3,0.9301,0.0021,0.877,0.0056,0.9762,0.0,1.0,0.0,0.0062,0.0007,0.0048,0.0005,0.697,0.0192,1.5586,0.0116,1.9744,0.0348,517.5643,3.6551,129.3,0.0
coverage,learned,full,0.1,tatdqa,3,0.891,0.0023,0.8139,0.0041,0.9511,0.0009,0.9632,0.0009,0.0078,0.0001,0.0037,0.0001,0.6531,0.0113,1.2413,0.0203,1.6129,0.0196,1845.574,4.4987,1343.7,0.0
coverage,learned,margin,0.05,arxivqa,3,0.929,0.0011,0.8933,0.0054,0.9578,0.0031,0.9778,0.0031,0.0034,0.0,0.0022,0.0001,0.5751,0.0056,1.7798,0.0099,1.818,0.0097,1192.0253,12.6155,1061.4,0.2828
coverage,learned,margin,0.05,docvqa,3,0.6916,0.0043,0.6267,0.0054,0.7467,0.0054,0.7956,0.0063,0.0622,0.0019,0.0337,0.0021,0.5857,0.0079,0.6358,0.002,1.0596,0.0114,1620.4183,11.9254,3141.5,0.0
