anchor,representative,loss,rho,dataset,vs,delta_ndcg,ci_lo,ci_hi,significant
kcenter,learned,margin,0.1,docvqa,merging,0.0349,0.0122,0.0585,True
kcenter,learned,margin,0.1,docvqa,coverage_response,0.03,0.0109,0.0497,True
kcenter,learned,margin,0.1,docvqa,full_marginmerge,-0.0027,-0.0207,0.0145,False
kcenter,learned,score_reconstruction,0.1,docvqa,merging,0.0336,0.0105,0.0563,True
kcenter,learned,score_reconstruction,0.1,docvqa,coverage_response,0.0287,0.0102,0.0486,True
kcenter,learned,score_reconstruction,0.1,docvqa,full_marginmerge,-0.0041,-0.0195,0.0113,False
kcenter,response_centroid,none,0.1,docvqa,merging,0.0223,-0.0003,0.0457,False
kcenter,response_centroid,none,0.1,docvqa,coverage_response,0.0175,-0.0029,0.0391,False
kcenter,response_centroid,none,0.1,docvqa,full_marginmerge,-0.0153,-0.0358,0.0041,False
kcenter,uniform_centroid,none,0.1,docvqa,merging,0.0072,-0.0134,0.0299,False
kcenter,uniform_centroid,none,0.1,docvqa,coverage_response,0.0024,-0.019,0.0246,False
kcenter,uniform_centroid,none,0.1,docvqa,full_marginmerge,-0.0304,-0.0502,-0.0114,True
random,anchor,none,0.1,docvqa,merging,-0.0152,-0.0396,0.0075,False
random,anchor,none,0.1,docvqa,coverage_response,-0.02,-0.0442,0.0034,False
random,anchor,none,0.1,docvqa,full_marginmerge,-0.0528,-0.0775,-0.0291,True
random,learned,full,0.1,docvqa,merging,0.0258,0.0046,0.0472,True
random,learned,full,0.1,docvqa,coverage_response,0.021,0.002,0.0397,True
random,learned,full,0.1,docvqa,full_marginmerge,-0.0118,-0.0278,0.0047,False
random,learned,margin,0.1,docvqa,merging,0.0297,0.0091,0.0524,True
random,learned,margin,0.1,docvqa,coverage_response,0.0248,0.0068,0.0447,True
random,learned,margin,0.1,docvqa,full_marginmerge,-0.0079,-0.0227,0.0069,False
random,learned,score_reconstruction,0.1,docvqa,merging,0.0317,0.0104,0.0542,True
random,learned,score_reconstruction,0.1,docvqa,coverage_response,0.0269,0.0113,0.0438,True
random,learned,score_reconstruction,0.1,docvqa,full_marginmerge,-0.0059,-0.0205,0.007,False
random,response_centroid,none,0.1,docvqa,merging,0.0031,-0.0191,0.0267,False
random,response_centroid,none,0.1,docvqa,coverage_response,-0.0018,-0.026,0.0217,False
random,response_centroid,none,0.1,docvqa,full_marginmerge,-0.0345,-0.0569,-0.0119,True
random,uniform_centroid,none,0.1,docvqa,merging,0.01,-0.0103,0.031,False
random,uniform_centroid,none,0.1,docvqa,coverage_response,0.0052,-0.0164,0.0267,False
random,uniform_centroid,none,0.1,docvqa,full_marginmerge,-0.0276,-0.0486,-0.0065,True
-,full,-,0.1,flickr,merging,0.0583,0.0453,0.0711,True
-,full,-,0.1,flickr,coverage_response,0.0406,0.0293,0.0518,True
-,full,-,0.1,flickr,full_marginmerge,0.0157,0.0075,0.0243,True
-,merging,-,0.1,flickr,coverage_response,-0.0177,-0.0334,-0.0009,True
-,merging,-,0.1,flickr,full_marginmerge,-0.0426,-0.057,-0.028,True
coverage,anchor,none,0.1,flickr,merging,-0.0108,-0.0273,0.0063,False
coverage,anchor,none,0.1,flickr,coverage_response,-0.0285,-0.0377,-0.0199,True
coverage,anchor,none,0.1,flickr,full_marginmerge,-0.0535,-0.0662,-0.041,True
coverage,learned,full,0.1,flickr,merging,0.0426,0.0288,0.0574,True
coverage,learned,full,0.1,flickr,coverage_response,0.025,0.015,0.0352,True
coverage,learned,margin,0.1,flickr,merging,0.0441,0.0305,0.0586,True
coverage,learned,margin,0.1,flickr,coverage_response,0.0265,0.0164,0.0362,True
coverage,learned,margin,0.1,flickr,full_marginmerge,0.0015,-0.0009,0.004,False
coverage,learned,score_reconstruction,0.1,flickr,merging,0.0437,0.0277,0.0585,True
coverage,learned,score_reconstruction,0.1,flickr,coverage_response,0.026,0.0172,0.0356,True
coverage,learned,score_reconstruction,0.1,flickr,full_marginmerge,0.001,-0.0047,0.0069,False
coverage,response_centroid,none,0.1,flickr,merging,0.0177,0.001,0.0336,True
coverage,response_centroid,none,0.1,flickr,full_marginmerge,-0.025,-0.0351,-0.015,True
coverage,uniform_centroid,none,0.1,flickr,merging,0.02,0.0053,0.0338,True
coverage,uniform_centroid,none,0.1,flickr,coverage_response,0.0023,-0.0097,0.0138,False
coverage,uniform_centroid,none,0.1,flickr,full_marginmerge,-0.0226,-0.0314,-0.0145,True
kcenter,anchor,none,0.1,flickr,merging,-0.1212,-0.1421,-0.1009,True
kcenter,anchor,none,0.1,flickr,coverage_response,-0.1388,-0.1599,-0.1175,True
kcenter,anchor,none,0.1,flickr,full_marginmerge,-0.1638,-0.1851,-0.1419,True
kcenter,learned,full,0.1,flickr,merging,0.0399,0.0279,0.0526,True
kcenter,learned,full,0.1,flickr,coverage_response,0.0222,0.0112,0.0332,True
kcenter,learned,full,0.1,flickr,full_marginmerge,-0.0027,-0.0128,0.0068,False
kcenter,learned,margin,0.1,flickr,merging,0.0396,0.0276,0.0519,True
kcenter,learned,margin,0.1,flickr,coverage_response,0.0219,0.0109,0.0328,True
kcenter,learned,margin,0.1,flickr,full_marginmerge,-0.0031,-0.0124,0.0068,False
kcenter,learned,score_reconstruction,0.1,flickr,merging,0.0424,0.0288,0.0552,True
kcenter,learned,score_reconstruction,0.1,flickr,coverage_response,0.0248,0.0149,0.0349,True
kcenter,learned,score_reconstruction,0.1,flickr,full_marginmerge,-0.0002,-0.0094,0.0087,False
kcenter,response_centroid,none,0.1,flickr,merging,-0.0398,-0.0559,-0.0235,True
kcenter,response_centroid,none,0.1,flickr,coverage_response,-0.0575,-0.0746,-0.0399,True
kcenter,response_centroid,none,0.1,flickr,full_marginmerge,-0.0824,-0.1004,-0.0656,True
kcenter,uniform_centroid,none,0.1,flickr,merging,0.0342,0.0224,0.0463,True
kcenter,uniform_centroid,none,0.1,flickr,coverage_response,0.0165,0.0038,0.0285,True
kcenter,uniform_centroid,none,0.1,flickr,full_marginmerge,-0.0084,-0.0198,0.0026,False
random,anchor,none,0.1,flickr,merging,-0.1675,-0.1917,-0.1444,True
random,anchor,none,0.1,flickr,coverage_response,-0.1851,-0.2084,-0.1605,True
random,anchor,none,0.1,flickr,full_marginmerge,-0.2101,-0.235,-0.1866,True
random,learned,full,0.1,flickr,merging,0.0256,0.0109,0.0406,True
random,learned,full,0.1,flickr,coverage_response,0.0079,-0.0048,0.0202,False
random,learned,full,0.1,flickr,full_marginmerge,-0.017,-0.0283,-0.0063,True
random,learned,margin,0.1,flickr,merging,0.0179,0.0026,0.0343,True
random,learned,margin,0.1,flickr,coverage_response,0.0002,-0.0131,0.0137,False
random,learned,margin,0.1,flickr,full_marginmerge,-0.0247,-0.0369,-0.0133,True
random,learned,score_reconstruction,0.1,flickr,merging,0.0319,0.0175,0.0475,True
random,learned,score_reconstruction,0.1,flickr,coverage_response,0.0142,0.0017,0.0262,True
random,learned,score_reconstruction,0.1,flickr,full_marginmerge,-0.0107,-0.0217,0.0008,False
random,response_centroid,none,0.1,flickr,merging,-0.1121,-0.1348,-0.0912,True
random,response_centroid,none,0.1,flickr,coverage_response,-0.1297,-0.1519,-0.1082,True
random,response_centroid,none,0.1,flickr,full_marginmerge,-0.1547,-0.1761,-0.1344,True
random,uniform_centroid,none,0.1,flickr,merging,-0.0155,-0.032,0.0002,False
random,uniform_centroid,none,0.1,flickr,coverage_response,-0.0331,-0.0497,-0.0178,True
random,uniform_centroid,none,0.1,flickr,full_marginmerge,-0.0581,-0.0724,-0.0436,True
-,full,-,0.1,infovqa,merging,0.0186,0.0067,0.0307,True
-,full,-,0.1,infovqa,coverage_response,0.0376,0.0214,0.0559,True
-,full,-,0.1,infovqa,full_marginmerge,0.0022,-0.0043,0.0106,False
-,merging,-,0.1,infovqa,coverage_response,0.019,0.0008,0.0359,True
-,merging,-,0.1,infovqa,full_marginmerge,-0.0164,-0.0296,-0.0059,True
coverage,anchor,none,0.1,infovqa,merging,-0.033,-0.0548,-0.012,True
coverage,anchor,none,0.1,infovqa,coverage_response,-0.014,-0.0232,-0.0058,True
coverage,anchor,none,0.1,infovqa,full_marginmerge,-0.0494,-0.0691,-0.0308,True
coverage,learned,full,0.1,infovqa,merging,0.0164,0.0054,0.0286,True
coverage,learned,full,0.1,infovqa,coverage_response,0.0354,0.022,0.0501,True
coverage,learned,margin,0.1,infovqa,merging,0.0163,0.0054,0.0277,True
coverage,learned,margin,0.1,infovqa,coverage_response,0.0353,0.0218,0.0511,True
coverage,learned,margin,0.1,infovqa,full_marginmerge,-0.0001,-0.0025,0.0028,False
coverage,learned,score_reconstruction,0.1,infovqa,merging,0.0209,0.0089,0.0335,True
coverage,learned,score_reconstruction,0.1,infovqa,coverage_response,0.0399,0.0264,0.0554,True
coverage,learned,score_reconstruction,0.1,infovqa,full_marginmerge,0.0045,-0.0002,0.0097,False
coverage,response_centroid,none,0.1,infovqa,merging,-0.019,-0.0364,-0.0014,True
coverage,response_centroid,none,0.1,infovqa,full_marginmerge,-0.0354,-0.0492,-0.0215,True
coverage,uniform_centroid,none,0.1,infovqa,merging,0.0143,0.0022,0.0279,True
coverage,uniform_centroid,none,0.1,infovqa,coverage_response,0.0333,0.0209,0.0459,True
coverage,uniform_centroid,none,0.1,infovqa,full_marginmerge,-0.0021,-0.0096,0.0048,False
kcenter,anchor,none,0.1,infovqa,merging,-0.0518,-0.0706,-0.0351,True
kcenter,anchor,none,0.1,infovqa,coverage_response,-0.0328,-0.053,-0.0132,True
kcenter,anchor,none,0.1,infovqa,full_marginmerge,-0.0682,-0.0894,-0.0482,True
kcenter,learned,full,0.1,infovqa,merging,0.003,-0.0068,0.0125,False
kcenter,learned,full,0.1,infovqa,coverage_response,0.022,0.0058,0.039,True
kcenter,learned,full,0.1,infovqa,full_marginmerge,-0.0134,-0.0238,-0.0043,True
kcenter,learned,margin,0.1,infovqa,merging,0.0035,-0.0056,0.0135,False
kcenter,learned,margin,0.1,infovqa,coverage_response,0.0225,0.0078,0.0394,True
kcenter,learned,margin,0.1,infovqa,full_marginmerge,-0.0129,-0.023,-0.0045,True
kcenter,learned,score_reconstruction,0.1,infovqa,merging,0.0061,-0.0052,0.0173,False
kcenter,learned,score_reconstruction,0.1,infovqa,coverage_response,0.0251,0.0101,0.0402,True
kcenter,learned,score_reconstruction,0.1,infovqa,full_marginmerge,-0.0103,-0.0186,-0.002,True
kcenter,response_centroid,none,0.1,infovqa,merging,-0.0172,-0.0309,-0.0036,True
kcenter,response_centroid,none,0.1,infovqa,coverage_response,0.0018,-0.0155,0.0184,False
kcenter,response_centroid,none,0.1,infovqa,full_marginmerge,-0.0336,-0.0495,-0.0181,True
kcenter,uniform_centroid,none,0.1,infovqa,merging,0.0029,-0.0059,0.0114,False
kcenter,uniform_centroid,none,0.1,infovqa,coverage_response,0.0219,0.0048,0.0384,True
kcenter,uniform_centroid,none,0.1,infovqa,full_marginmerge,-0.0135,-0.0257,-0.0033,True
random,anchor,none,0.1,infovqa,merging,-0.0232,-0.0368,-0.0105,True
random,anchor,none,0.1,infovqa,coverage_response,-0.0042,-0.0223,0.014,False
random,anchor,none,0.1,infovqa,full_marginmerge,-0.0396,-0.0572,-0.0241,True
random,learned,full,0.1,infovqa,merging,0.0171,0.007,0.0278,True
random,learned,full,0.1,infovqa,coverage_response,0.0361,0.0204,0.0531,True
random,learned,full,0.1,infovqa,full_marginmerge,0.0007,-0.0078,0.0095,False
random,learned,margin,0.1,infovqa,merging,0.016,0.0061,0.0258,True
random,learned,margin,0.1,infovqa,coverage_response,0.035,0.0194,0.0523,True
random,learned,margin,0.1,infovqa,full_marginmerge,-0.0004,-0.0091,0.0083,False
random,learned,score_reconstruction,0.1,infovqa,merging,0.0068,-0.004,0.0181,False
random,learned,score_reconstruction,0.1,infovqa,coverage_response,0.0258,0.0107,0.0415,True
random,learned,score_reconstruction,0.1,infovqa,full_marginmerge,-0.0096,-0.0193,-0.0002,True
random,response_centroid,none,0.1,infovqa,merging,-0.0099,-0.0226,0.0028,False
random,response_centroid,none,0.1,infovqa,coverage_response,0.0091,-0.0075,0.0266,False
random,response_centroid,none,0.1,infovqa,full_marginmerge,-0.0263,-0.0414,-0.012,True
random,uniform_centroid,none,0.1,infovqa,merging,0.0032,-0.0073,0.0135,False
random,uniform_centroid,none,0.1,infovqa,coverage_response,0.0222,0.0055,0.0396,True
random,uniform_centroid,none,0.1,infovqa,full_marginmerge,-0.0132,-0.026,-0.0013,True
-,full,-,0.1,tabfquad,merging,0.0153,0.0063,0.0256,True
-,full,-,0.1,tabfquad,coverage_response,0.0208,0.0107,0.0322,True
-,full,-,0.1,tabfquad,full_marginmerge,0.0125,0.0051,0.0212,True
-,merging,-,0.1,tabfquad,coverage_response,0.0055,-0.0047,0.0157,False
-,merging,-,0.1,tabfquad,full_marginmerge,-0.0027,-0.0138,0.0082,False
coverage,anchor,none,0.1,tabfquad,merging,-0.0058,-0.0154,0.0046,False
coverage,anchor,none,0.1,tabfquad,coverage_response,-0.0003,-0.0015,0.0007,False
coverage,anchor,none,0.1,tabfquad,full_marginmerge,-0.0085,-0.0192,0.002,False
coverage,learned,full,0.1,tabfquad,merging,0.0027,-0.0084,0.0138,False
coverage,learned,full,0.1,tabfquad,coverage_response,0.0082,-0.0016,0.0192,False
coverage,learned,margin,0.1,tabfquad,merging,0.0032,-0.0071,0.0141,False
coverage,learned,margin,0.1,tabfquad,coverage_response,0.0087,-0.001,0.0193,False
coverage,learned,margin,0.1,tabfquad,full_marginmerge,0.0005,0.0,0.0016,False
coverage,learned,score_reconstruction,0.1,tabfquad,merging,0.006,-0.0019,0.0159,False
coverage,learned,score_reconstruction,0.1,tabfquad,coverage_response,0.0115,0.0036,0.0209,True
coverage,learned,score_reconstruction,0.1,tabfquad,full_marginmerge,0.0033,-0.003,0.0105,False
coverage,response_centroid,none,0.1,tabfquad,merging,-0.0055,-0.0155,0.0053,False
coverage,response_centroid,none,0.1,tabfquad,full_marginmerge,-0.0082,-0.0189,0.0022,False
coverage,uniform_centroid,none,0.1,tabfquad,merging,0.0037,-0.0062,0.0138,False
coverage,uniform_centroid,none,0.1,tabfquad,coverage_response,0.0092,-0.0015,0.0206,False
coverage,uniform_centroid,none,0.1,tabfquad,full_marginmerge,0.0009,-0.0071,0.009,False
kcenter,anchor,none,0.1,tabfquad,merging,-0.0185,-0.0383,0.0031,False
kcenter,anchor,none,0.1,tabfquad,coverage_response,-0.013,-0.0297,0.004,False
kcenter,anchor,none,0.1,tabfquad,full_marginmerge,-0.0212,-0.0388,-0.0031,True
kcenter,learned,full,0.1,tabfquad,merging,0.0099,-0.0043,0.0269,False
kcenter,learned,full,0.1,tabfquad,coverage_response,0.0154,0.0035,0.0293,True
kcenter,learned,full,0.1,tabfquad,full_marginmerge,0.0072,-0.0009,0.0166,False
kcenter,learned,margin,0.1,tabfquad,merging,0.0066,-0.0079,0.0243,False
kcenter,learned,margin,0.1,tabfquad,coverage_response,0.0121,-0.0001,0.025,False
kcenter,learned,margin,0.1,tabfquad,full_marginmerge,0.0038,-0.0044,0.0134,False
kcenter,learned,score_reconstruction,0.1,tabfquad,merging,0.0117,-0.0022,0.0279,False
kcenter,learned,score_reconstruction,0.1,tabfquad,coverage_response,0.0172,0.0056,0.0308,True
kcenter,learned,score_reconstruction,0.1,tabfquad,full_marginmerge,0.009,0.0006,0.018,True
kcenter,response_centroid,none,0.1,tabfquad,merging,-0.0072,-0.0247,0.0115,False
kcenter,response_centroid,none,0.1,tabfquad,coverage_response,-0.0017,-0.016,0.0128,False
kcenter,response_centroid,none,0.1,tabfquad,full_marginmerge,-0.0099,-0.0248,0.0048,False
kcenter,uniform_centroid,none,0.1,tabfquad,merging,0.0051,-0.0107,0.0245,False
kcenter,uniform_centroid,none,0.1,tabfquad,coverage_response,0.0106,-0.0043,0.0262,False
kcenter,uniform_centroid,none,0.1,tabfquad,full_marginmerge,0.0024,-0.0083,0.0137,False
random,anchor,none,0.1,tabfquad,merging,-0.0195,-0.0375,-0.0014,True
random,anchor,none,0.1,tabfquad,coverage_response,-0.014,-0.0326,0.0043,False
random,anchor,none,0.1,tabfquad,full_marginmerge,-0.0222,-0.0401,-0.0056,True
random,learned,full,0.1,tabfquad,merging,0.0126,0.0037,0.0242,True
random,learned,full,0.1,tabfquad,coverage_response,0.0181,0.0082,0.0298,True
random,learned,full,0.1,tabfquad,full_marginmerge,0.0099,0.0024,0.0192,True
random,learned,margin,0.1,tabfquad,merging,0.0122,0.0031,0.024,True
random,learned,margin,0.1,tabfquad,coverage_response,0.0177,0.0072,0.029,True
random,learned,margin,0.1,tabfquad,full_marginmerge,0.0095,0.0018,0.0192,True
random,learned,score_reconstruction,0.1,tabfquad,merging,0.0123,0.002,0.0246,True
random,learned,score_reconstruction,0.1,tabfquad,coverage_response,0.0178,0.0075,0.0296,True
random,learned,score_reconstruction,0.1,tabfquad,full_marginmerge,0.0095,0.0019,0.019,True
random,response_centroid,none,0.1,tabfquad,merging,-0.0113,-0.0292,0.0043,False
random,response_centroid,none,0.1,tabfquad,coverage_response,-0.0058,-0.0224,0.0102,False
random,response_centroid,none,0.1,tabfquad,full_marginmerge,-0.014,-0.0304,0.001,False
random,uniform_centroid,none,0.1,tabfquad,merging,0.0103,-0.0001,0.0229,False
random,uniform_centroid,none,0.1,tabfquad,coverage_response,0.0158,0.0039,0.0282,True
random,uniform_centroid,none,0.1,tabfquad,full_marginmerge,0.0076,-0.0032,0.0188,False
-,full,-,0.1,tatdqa,merging,0.0118,0.0052,0.0185,True
-,full,-,0.1,tatdqa,coverage_response,0.0242,0.0159,0.032,True
-,full,-,0.1,tatdqa,full_marginmerge,0.0094,0.0034,0.0158,True
-,merging,-,0.1,tatdqa,coverage_response,0.0123,0.0027,0.0222,True
-,merging,-,0.1,tatdqa,full_marginmerge,-0.0025,-0.0104,0.0052,False
coverage,anchor,none,0.1,tatdqa,merging,-0.04,-0.0513,-0.0292,True
coverage,anchor,none,0.1,tatdqa,coverage_response,-0.0277,-0.0341,-0.0212,True
coverage,anchor,none,0.1,tatdqa,full_marginmerge,-0.0425,-0.0512,-0.0339,True
coverage,learned,full,0.1,tatdqa,merging,0.0025,-0.0054,0.0102,False
coverage,learned,full,0.1,tatdqa,coverage_response,0.0148,0.0088,0.0212,True
coverage,learned,margin,0.1,tatdqa,merging,0.0034,-0.0044,0.0116,False
coverage,learned,margin,0.1,tatdqa,coverage_response,0.0157,0.0095,0.0219,True
coverage,learned,margin,0.1,tatdqa,full_marginmerge,0.0009,-0.0008,0.0026,False
coverage,learned,score_reconstruction,0.1,tatdqa,merging,0.0063,-0.0014,0.0139,False
coverage,learned,score_reconstruction,0.1,tatdqa,coverage_response,0.0187,0.0122,0.0249,True
coverage,learned,score_reconstruction,0.1,tatdqa,full_marginmerge,0.0039,0.0004,0.0077,False
coverage,response_centroid,none,0.1,tatdqa,merging,-0.0123,-0.0223,-0.0034,True
coverage,response_centroid,none,0.1,tatdqa,full_marginmerge,-0.0148,-0.021,-0.0086,True
coverage,uniform_centroid,none,0.1,tatdqa,merging,0.0013,-0.0066,0.01,False
coverage,uniform_centroid,none,0.1,tatdqa,coverage_response,0.0137,0.0072,0.0204,True
coverage,uniform_centroid,none,0.1,tatdqa,full_marginmerge,-0.0011,-0.0045,0.0021,False
kcenter,anchor,none,0.1,tatdqa,merging,-0.0064,-0.0155,0.0023,False
kcenter,anchor,none,0.1,tatdqa,coverage_response,0.0059,-0.0032,0.0156,False
kcenter,anchor,none,0.1,tatdqa,full_marginmerge,-0.0089,-0.017,-0.0002,True
kcenter,learned,full,0.1,tatdqa,merging,0.0085,0.0018,0.0151,True
kcenter,learned,full,0.1,tatdqa,coverage_response,0.0209,0.0132,0.0291,True
kcenter,learned,full,0.1,tatdqa,full_marginmerge,0.0061,0.0001,0.0123,True
kcenter,learned,margin,0.1,tatdqa,merging,0.0066,-0.0002,0.0128,False
kcenter,learned,margin,0.1,tatdqa,coverage_response,0.0189,0.0111,0.027,True
kcenter,learned,margin,0.1,tatdqa,full_marginmerge,0.0041,-0.0018,0.01,False
kcenter,learned,score_reconstruction,0.1,tatdqa,merging,0.0073,0.0002,0.0144,True
kcenter,learned,score_reconstruction,0.1,tatdqa,coverage_response,0.0196,0.0115,0.0277,True
kcenter,learned,score_reconstruction,0.1,tatdqa,full_marginmerge,0.0048,-0.0013,0.0107,False
kcenter,response_centroid,none,0.1,tatdqa,merging,0.009,0.0015,0.0162,True
kcenter,response_centroid,none,0.1,tatdqa,coverage_response,0.0213,0.0133,0.0298,True
kcenter,response_centroid,none,0.1,tatdqa,full_marginmerge,0.0065,0.0001,0.0128,True
kcenter,uniform_centroid,none,0.1,tatdqa,merging,0.0067,0.0002,0.0133,True
kcenter,uniform_centroid,none,0.1,tatdqa,coverage_response,0.0191,0.0112,0.0268,True
kcenter,uniform_centroid,none,0.1,tatdqa,full_marginmerge,0.0043,-0.0019,0.0105,False
random,anchor,none,0.1,tatdqa,merging,-0.0178,-0.0264,-0.0089,True
random,anchor,none,0.1,tatdqa,coverage_response,-0.0055,-0.0159,0.0052,False
random,anchor,none,0.1,tatdqa,full_marginmerge,-0.0203,-0.0291,-0.0107,True
random,learned,full,0.1,tatdqa,merging,0.0093,0.0025,0.0163,True
random,learned,full,0.1,tatdqa,coverage_response,0.0216,0.013,0.0303,True
random,learned,full,0.1,tatdqa,full_marginmerge,0.0068,0.0006,0.0136,True
random,learned,margin,0.1,tatdqa,merging,0.0081,0.0009,0.0153,True
random,learned,margin,0.1,tatdqa,coverage_response,0.0204,0.0122,0.0285,True
random,learned,margin,0.1,tatdqa,full_marginmerge,0.0056,-0.0014,0.0121,False
random,learned,score_reconstruction,0.1,tatdqa,merging,0.0103,0.0036,0.0169,True
random,learned,score_reconstruction,0.1,tatdqa,coverage_response,0.0226,0.0144,0.0308,True
random,learned,score_reconstruction,0.1,tatdqa,full_marginmerge,0.0078,0.0019,0.0146,True
random,response_centroid,none,0.1,tatdqa,merging,-0.003,-0.0105,0.0053,False
random,response_centroid,none,0.1,tatdqa,coverage_response,0.0093,0.0005,0.0181,True
random,response_centroid,none,0.1,tatdqa,full_marginmerge,-0.0055,-0.0129,0.0018,False
random,uniform_centroid,none,0.1,tatdqa,merging,0.0038,-0.0039,0.0115,False
random,uniform_centroid,none,0.1,tatdqa,coverage_response,0.0161,0.0071,0.0257,True
random,uniform_centroid,none,0.1,tatdqa,full_marginmerge,0.0013,-0.0059,0.0089,False
